"city" "index" "age_score" "crime_score" "depend_score" "pay_score" "edu_score" "hp_score" "med_examine_score" "unemploy_score" "popu_score" "med_resource_score" "society"
"F" "New Taipei City" 0.700787401574803 0.982919124094605 1 0.752280448487533 0.387245647157541 0.308087951652308 0.632525197493871 0.333333333333334 0.800008829539434 0.222651310883485 6.11983924421692
"A" "Taipei City" 1 0.250219216585987 0 0.18622784934304 1 0 1 0.333333333333334 0 0.879787502099782 4.64956790136214
"H" "Taoyuan City" 0.636482939632545 0.978486744903965 0.964426877470356 0.429848024615373 0.336479966435914 0.747589044618748 0.640152546989921 0 0.811113026513846 0.620827994113489 6.16540716529416
"B" "Taichung City" 0.60498687664042 1 0.938735177865613 0.0585187570644831 0.425844346549192 0.511122540825511 0.235358213020975 0.333333333333334 0.872569774384245 0.728201148317399 5.70867016800117
"D" "Tainan City" 0.519685039370078 0.453243804879221 0.789525691699605 0.145491010597536 0.254038179148311 0.763854956924264 0.181966766548624 0.666666666666668 0.916514602376407 0.599486082259813 5.29047280047053
"E" "Kaohsiung City" 0.446194225721785 0.889274603308068 0.798418972332016 0.110253281421391 0.358716173694147 0.76044747331876 0.170798147643694 0.666666666666668 0.907943642311153 0.723183405088907 5.83189659150659
"G" "Yilan County" 0.493438320209974 0 0.689723320158103 0.165898333192202 0.117264526956157 0.683296901118683 0.27431217651866 0.333333333333334 0.984220351667942 0.643476280996643 4.3849635441517
"J" "Hsinchu County" 0.578740157480314 0.53527284957538 0.66403162055336 0 0.333962659953849 0.714221422142214 0.496594933260692 0.666666666666668 0.964409598129819 0.13300016798253 5.08690007574483
"K" "Miaoli County" 0.426509186351706 0.91986883040444 0.627470355731226 0.725545274012874 0.221522970421649 0.778577857785779 0.431762462544266 1 0.975105954473213 0.335647845540438 6.44201073726559
"N" "Changhua County" 0.552493438320209 0.652917082077092 0.618577075098814 0.675206598915067 0.140759387455423 0.637585187090138 0.079542359030237 0.666666666666668 0.882512466468773 0.559868978545416 5.46612923966784
"M" "Nantou County" 0.392388451443569 0.649890091410313 0.611660079051383 0.436545075969193 0.126494650723726 0.706956409926707 0.216562244619995 0.666666666666668 0.993872930313911 0.500341211316553 5.30137781144202
"P" "Yunlin County" 0.347769028871392 0.648989201330915 0.449604743083004 0.390546186574239 0.0673379483952171 0.794522309373794 0 0.666666666666668 0.951318754782667 0.408642268315831 4.72539710739373
"Q" "Chiayi County" 0.398950131233596 0.526468150532726 0.608695652173913 0.344164659532757 0.00734214390602059 0.944451588015944 0.0986107327703623 0.666666666666668 0.978857457597188 0.594961237313118 5.16916841974229
"T" "Pingtung County" 0.18241469816273 0.698225847136971 0.797430830039526 0.385895697923109 0.0566393958464443 0.956667095280957 0.313810950694634 0.666666666666668 0.975660954094804 0.231945420473179 5.26535755631902
"V" "Taitung County" 0 0.514948769384152 0.697628458498024 1 0 0.737816638806738 0.548351947698175 1 1 0.512806618779251 6.01155243316634
"U" "Hualien County" 0.127296587926509 0.305978306566888 0.638339920948617 0.821275864342963 0.235997482693518 0.909283785521409 0.338327431217652 1 0.999070796088094 0.919003698527511 6.29457387383316
"C" "Keelung City" 0.482939632545932 0.411334398385605 0.920948616600791 0.381346632278327 0.29032934759807 0.938472418670438 0.462544265867611 0 0.71540292131619 0.694286785881928 5.29760501914489
"O" "Hsinchu City" 0.686351706036746 0.928589446373016 0.474308300395257 0.397639556201249 0.60037759597231 0.805709142342806 0.456551348406429 0.666666666666668 0.550860249413466 0.63830159667611 6.20535560848406
"I" "Chiayi City" 0.545931758530183 0.547609037729276 0.580039525691699 0.678784786951704 0.593035452066289 1 0.000272405339144632 1 0.540623239347791 0.980979152026236 6.46727535768232
